epoch,train_loss,val_loss
1,0.5249040686628885,0.146781450137496
2,0.08087863757585485,0.03979131090454757
3,0.03807787169029729,0.02290950680617243
4,0.02699226666138404,0.01766540773678571
5,0.021544526926138334,0.01462985051330179
6,0.01640671831814365,0.01397220219951123
7,0.014818446503745185,0.01825446868315339
8,0.019708769176051848,0.013831241463776678
9,0.012082166724010475,0.00942459690850228
10,0.010139793299862908,0.01002127508400008
11,0.009047798889999589,0.009531303541734815
12,0.008805083421369394,0.010189889406319708
13,0.008828609800224917,0.009824604261666536
14,0.006923694053613063,0.008863650145940483
15,0.006648774763258795,0.009194460522849113
16,0.006705595568443338,0.006205247773323208
17,0.005856490959154649,0.008085624576779082
18,0.005379579722001735,0.00609812414040789
19,0.004951002176514723,0.007624948397278786
20,0.004852081222149233,0.004902311658952385
21,0.0037314708558066436,0.004635991528630257
22,0.004022063344665285,0.007419051951728761
23,0.004652892582170252,0.005376213695853949
24,0.005117854442990695,0.0040303948044311255
25,0.003041143554987179,0.004437785712070763
26,0.003143998069895638,0.0040738875104580075
27,0.003649014423394369,0.003128416487015784
28,0.002618404296097449,0.0036209701793268323
29,0.0024866135370555436,0.00368120230268687
30,0.0028554638265632093,0.003361715789651498
31,0.0022782904820309747,0.003180603845976293
32,0.0021861886941931313,0.002846407820470631
33,0.0020474641448042044,0.004516558663453907
34,0.002625852370531195,0.003932789200916886
35,0.0036818444172644783,0.0030519040883518755
36,0.00230659324895694,0.0032333641429431736
37,0.002274293607721726,0.002467936064931564
38,0.0016749887306812322,0.0023815433960407972
39,0.001523590124432101,0.002558874897658825
40,0.0014756485858621697,0.0028835768753197044
41,0.0016406276392646963,0.0025620044325478375
42,0.0014400909001576817,0.0020513426570687443
43,0.0014654474006319004,0.002120550037943758
44,0.001459118405667444,0.0028931344277225435
45,0.0014613696969010765,0.002875449732528068
46,0.001512169902626839,0.0018204308580607176
47,0.001291751412079773,0.0026014880422735587
48,0.0015667779193285645,0.003206848166882992
49,0.0030061113906817306,0.003462586202658713
50,0.0020701765283269603,0.0025732016074471176
51,0.00143289242987521,0.0022631404135609046
52,0.0011150849362214406,0.0018265888502355665
53,0.0012360112693083163,0.002078423654893413
54,0.0011671774069933842,0.0020386092510307208
55,0.00117144921710456,0.0017980913544306532
56,0.0009453037491766736,0.0017039150261553004
57,0.0009512610275932173,0.002139906704542227
58,0.001014073518389422,0.0018797532247845083
59,0.0008612155377502657,0.0019314002274768427
60,0.001220903857352419,0.009123708645347506
61,0.003622235384278206,0.003918439557310194
62,0.0075939970556646585,0.0036004594003316015
63,0.0019052453377904992,0.0021846664312761277
64,0.0011949470774399945,0.0020681796449935064
65,0.0009245671640706456,0.003875762486131862
66,0.0011462033362477086,0.002581838401965797
67,0.0010159781684503993,0.0016222095655393787
68,0.000760953622779602,0.0017961640114663169
69,0.0009719086067181908,0.0020461403182707727
70,0.000800155961769633,0.0016904186340980232
71,0.0007045961028779857,0.0015392646164400503
72,0.0007443335319597585,0.0024459642881993204
73,0.0010850411522874816,0.0018790366157190874
74,0.0006923620902752089,0.0013773159153060988
75,0.0007481758689714803,0.0014986804162617773
76,0.0007271044782505163,0.00128230301925214
77,0.000760135346758438,0.001810775211197324
78,0.0007347134540193818,0.0014179458303260617
79,0.0005912895527823517,0.001664595169131644
80,0.0005937214049885774,0.0012927959687658586
81,0.0006138946959658319,0.0015847384711378254
82,0.000595036028244067,0.0016807044739834964
83,0.0005907732613397659,0.001279815835005138
84,0.0005724623939992549,0.001528903034341056
85,0.0006552330677449289,0.0018566517464932986
86,0.0006426527421960296,0.0012593334540724754
87,0.0006030250143440855,0.0015747552242828533
88,0.000619961471885391,0.0014753919240320101
89,0.0005848326925641029,0.0014094358921283856
90,0.0005907380153884231,0.0012638274565688334
91,0.0005641624051754156,0.0013817307772114873
92,0.0012893238017568365,0.003427837393246591
93,0.002091190554589654,0.0017690345994196832
94,0.0012108003591290778,0.0014253944682423025
95,0.000980185836346613,0.0016948256525211036
96,0.0006841626163804904,0.0013962683588033542
97,0.0007580431111920108,0.0024976244749268517
98,0.0007860876462978518,0.0013683327633771114
99,0.0006700982679224884,0.0011375399335520342
100,0.0005304611655042714,0.0015616864257026464
101,0.0011671119314592539,0.002358559286221862
102,0.0009104335088826095,0.0015843013316043653
103,0.0005073568447389536,0.002442875294946134
104,0.0024242710205726326,0.001670896279392764
105,0.0010910759980712708,0.0023045136040309444
106,0.001609202702335703,0.0025582641101209447
107,0.0013902822538511828,0.0019102041405858472
108,0.0034614892218895773,0.0020664763869717717
109,0.0012100072053726763,0.0015983410921762697
110,0.0006156581221148372,0.0012839672635891475
111,0.0005640797543391171,0.0014828443308942951
112,0.0005786803513830011,0.001460803505324293
113,0.0005876182242193156,0.0012890393263660371
114,0.0004506588229560293,0.001113654623623006
115,0.000550505555616433,0.0011456119827926159
116,0.0005499851581084335,0.0013027992608840577
117,0.0004882758496225708,0.0010074334932141937
118,0.00039202193228346814,0.0010434480573167093
